sep=;
Applied potential [V];WE current [A];WE current [A];WE current [A]
-0.30354;1.7193599999999999e-07;6.7593448e-08;-1.04343e-07
-0.302466;1.71389e-07;6.781220000000001e-08;-1.03577e-07
-0.30139099999999996;1.71499e-07;6.803095200000001e-08;-1.03468e-07
-0.300317;1.71499e-07;6.8359072e-08;-1.0314e-07
-0.299242;1.7160799999999998e-07;6.879656800000001e-08;-1.02812e-07
-0.298168;1.71827e-07;6.9015312e-08;-1.02812e-07
-0.29709399999999997;1.71717e-07;6.9452816e-08;-1.02265e-07
-0.296019;1.7193599999999999e-07;6.9780936e-08;-1.02155e-07
-0.294945;1.72155e-07;7.0327816e-08;-1.01827e-07
-0.29386999999999996;1.72702e-07;7.087468800000001e-08;-1.01827e-07
-0.292796;1.72702e-07;7.1093432e-08;-1.0160799999999999e-07
-0.291721;1.73467e-07;7.1968432e-08;-1.01499e-07
-0.290647;1.73577e-07;7.2296552e-08;-1.0128e-07
-0.289572;1.74452e-07;7.3171552e-08;-1.0128e-07
-0.288498;1.75327e-07;7.382780000000001e-08;-1.01499e-07
-0.287423;1.75983e-07;7.459341600000001e-08;-1.0139e-07
