sep=;
Applied potential [V];WE current [A];WE current [A];WE current [A]
-0.193943;2.77045e-07;7.9515272e-08;-1.9753e-07
-0.19286899999999998;2.76717e-07;7.885902400000001e-08;-1.97858e-07
-0.191794;2.76389e-07;7.842152800000001e-08;-1.97967e-07
-0.19072;2.75623e-07;7.787465600000001e-08;-1.97749e-07
-0.18964499999999998;2.75076e-07;7.7327784e-08;-1.97749e-07
-0.188571;2.7453e-07;7.6780904e-08;-1.97749e-07
-0.187496;2.73983e-07;7.623404e-08;-1.97749e-07
-0.186422;2.7332599999999997e-07;7.5905912e-08;-1.9742e-07
-0.18534699999999998;2.72561e-07;7.5249664e-08;-1.9731099999999999e-07
-0.184273;2.7190499999999997e-07;7.514029600000001e-08;-1.96764e-07
-0.183199;2.7103e-07;7.481216800000001e-08;-1.96217e-07
-0.18212399999999998;2.70373e-07;7.448404e-08;-1.95889e-07
-0.18105;2.69389e-07;7.415592000000001e-08;-1.9523299999999999e-07
-0.179975;2.68514e-07;7.393717600000001e-08;-1.94577e-07
-0.178901;2.6742e-07;7.3718424e-08;-1.93702e-07
-0.17782599999999998;2.66545e-07;7.3390296e-08;-1.9315499999999998e-07
-0.176752;2.65561e-07;7.328092000000001e-08;-1.9228e-07
-0.175677;2.64467e-07;7.3062176e-08;-1.9140499999999999e-07
-0.17460299999999998;2.63483e-07;7.2843432e-08;-1.90639e-07
-0.173528;2.62608e-07;7.2843432e-08;-1.89764e-07
-0.172454;2.6151399999999997e-07;7.2843432e-08;-1.88671e-07
-0.171379;2.60311e-07;7.2515296e-08;-1.87796e-07
-0.17030499999999998;2.59108e-07;7.2515296e-08;-1.86592e-07
-0.16923;2.5801399999999997e-07;7.240592800000001e-08;-1.85608e-07
-0.168156;2.5703e-07;7.240592800000001e-08;-1.84624e-07
-0.16708099999999998;2.55936e-07;7.2296552e-08;-1.83639e-07
-0.166007;2.55061e-07;7.2515296e-08;-1.82546e-07
-0.164932;2.53748e-07;7.240592800000001e-08;-1.8134199999999998e-07
-0.163858;2.52764e-07;7.262468000000001e-08;-1.80139e-07
-0.16278299999999998;2.51561e-07;7.2515296e-08;-1.79046e-07
-0.161709;2.50795e-07;7.2843432e-08;-1.77952e-07
-0.160634;2.49811e-07;7.295280000000001e-08;-1.76858e-07
-0.15955999999999998;2.48936e-07;7.3062176e-08;-1.75874e-07
-0.158485;2.47952e-07;7.328092000000001e-08;-1.74671e-07
-0.157411;2.47295e-07;7.360904800000001e-08;-1.7368599999999998e-07
-0.156336;2.4642e-07;7.382780000000001e-08;-1.72592e-07
-0.15526199999999998;2.45545e-07;7.393717600000001e-08;-1.7160799999999998e-07
-0.154188;2.4478e-07;7.415592000000001e-08;-1.70624e-07
-0.153113;2.44561e-07;7.459341600000001e-08;-1.69967e-07
-0.15203899999999998;2.44014e-07;7.4921544e-08;-1.69092e-07
-0.150964;2.43467e-07;7.546841600000001e-08;-1.67999e-07
