Applied potential [V];WE current [A]
-0.303235;-3.3697744e-05
-0.304236;-3.2833455999999996e-05
-0.305237;-3.2063118e-05
-0.306238;-3.133975e-05
-0.307238;-3.0513037999999998e-05
-0.308239;-2.9799064e-05
-0.30923999999999996;-2.9075694e-05
-0.310241;-2.842748e-05
-0.311241;-2.7816843999999998e-05
-0.31224199999999996;-2.7027711999999998e-05
-0.313243;-2.6435866e-05
-0.31424399999999997;-2.5815836e-05
-0.315245;-2.5177013999999998e-05
-0.316245;-2.4707294e-05
-0.317246;-2.4012108e-05
-0.318247;-2.3542388e-05
-0.319248;-2.2959934e-05
-0.320248;-2.2509004e-05
-0.321249;-2.2048676e-05
-0.32225;-2.1513196e-05
-0.323251;-2.1118632e-05
-0.324252;-2.0667698e-05
-0.325252;-2.0301316e-05
-0.32625299999999996;-1.9991301999999998e-05
-0.327254;-1.9502792e-05
-0.32825499999999996;-1.9230354e-05
-0.32925499999999996;-1.8892155999999998e-05
-0.330256;-1.8610322e-05
-0.33125699999999997;-1.8356674e-05
-0.332258;-1.8018475999999998e-05
-0.33325899999999997;-1.7821193999999998e-05
-0.334259;-1.7576937999999998e-05
-0.33526;-1.7379656e-05
-0.336261;-1.7191768e-05
-0.337262;-1.6909936e-05
-0.338262;-1.681599e-05
-0.339263;-1.6646892e-05
-0.340264;-1.6505977e-05
-0.341265;-1.6412032e-05
-0.34226599999999996;-1.6233538e-05
-0.34326599999999996;-1.6139594e-05
-0.344267;-1.6017467e-05
-0.34526799999999996;-1.5904734e-05
-0.346269;-1.5885945e-05
-0.347269;-1.5735635e-05
-0.34826999999999997;-1.5688661e-05
-0.349271;-1.5604113e-05
-0.350272;-1.5566534e-05
-0.351273;-1.5538351e-05
-0.352273;-1.5397436e-05
-0.353274;-1.5388041e-05
-0.354275;-1.5359857e-05
-0.355276;-1.5331676e-05
-0.356276;-1.5322281e-05
-0.357277;-1.523773e-05
-0.358278;-1.525652e-05
-0.35927899999999996;-1.5247125e-05
-0.36028;-1.523773e-05
-0.36128;-1.5218941999999999e-05
-0.36228099999999996;-1.5143787e-05
-0.363282;-1.5190759e-05
-0.36428299999999997;-1.5134393e-05
-0.36528299999999997;-1.5153180999999999e-05
-0.366284;-1.5171969e-05
-0.367285;-1.5143787e-05
-0.368286;-1.5162575e-05
-0.369287;-1.5162576e-05
-0.370287;-1.5181364e-05
-0.371288;-1.523773e-05
-0.372289;-1.5181364e-05
-0.37329;-1.5284704e-05
-0.37428999999999996;-1.5303491999999998e-05
-0.375291;-1.5331676e-05
-0.37629199999999996;-1.5369252e-05
-0.377293;-1.5359859e-05
-0.37829399999999996;-1.5481986e-05
-0.37929399999999996;-1.5481983999999998e-05
-0.380295;-1.5557141e-05
-0.38129599999999997;-1.5613506e-05
-0.382297;-1.5622901e-05
-0.383297;-1.5707452e-05
-0.384298;-1.5735635e-05
-0.385299;-1.5801395e-05
-0.3863;-1.5867157e-05
-0.387301;-1.5885945e-05
-0.388301;-1.5979889e-05
-0.389302;-1.6017467e-05
-0.39030299999999996;-1.6073833999999998e-05
-0.391304;-1.6148988e-05
-0.392304;-1.6148989e-05
-0.39330499999999996;-1.6252325999999998e-05
-0.394306;-1.6299299999999998e-05
-0.39530699999999996;-1.6355665e-05
-0.396308;-1.643082e-05
-0.397308;-1.644961e-05
-0.39830899999999997;-1.6524765e-05
-0.39931;-1.6599919999999998e-05
-0.400311;-1.6665681e-05
